Time,Rainfall,MaxTemperature,Humidity,Cases
2017-w47,3.0226,32.77777778,82.88571429,2
2017-w48,10.01522,32.77777778,80.88571429,0
2017-w49,4.318,32.77777778,82.27142857,0
2017-w50,445.008,32.22222222,82.82857143,0
2017-w51,10.81278,31.11111111,87.14285714,0
2017-w52,2.25044,32.22222222,84.28571429,0
2018-w1,21.22678,31.11111111,84.05714286,4
2018-w2,146.01444,31.11111111,87.55714286,11
2018-w3,9.21766,30.55555556,85.14285714,7
2018-w4,1.45034,31.11111111,87.17142857,10
2018-w5,1.30556,30.55555556,83.18571429,9
2018-w6,1.30556,30,83.34285714,5
2018-w7,14.91234,30.55555556,81.20526316,4
2018-w8,4.42722,31.66666667,85.7,4
2018-w9,1.016,32.22222222,82.31428571,10
2018-w10,0.21844,32.22222222,82.45714286,8
2018-w11,2.794,32.22222222,81.22857143,2
2018-w12,4.79044,32.22222222,82.28571429,2
2018-w13,0,31.11111111,82.3,5
2018-w14,5.44322,32.22222222,79.08571429,2
2018-w15,0.72644,32.22222222,80.275,3
2018-w16,4.20878,32.77777778,79.7,3
2018-w17,2.794,33.33333333,78.78571429,5
2018-w18,14.33322,32.77777778,77.41428571,4
2018-w19,0.94234,33.33333333,79.52857143,4
2018-w20,143.54556,33.33333333,77.62857143,0
2018-w21,1.08966,39.44444444,77.61428571,2
2018-w22,10.26922,33.88888889,76.52857143,3
2018-w23,12.15644,32.77777778,79.74285714,5
2018-w24,8.23722,33.33333333,82,7
2018-w25,2.794,32.77777778,80.51428571,7
2018-w26,8.41756,32.22222222,80.92857143,14
2018-w27,5.08,32.77777778,82.35714286,14
2018-w28,12.91844,32.22222222,81.29090909,14
2018-w29,4.17322,32.77777778,83.9,31
2018-w30,4.79044,32.77777778,80.48571429,40
2018-w31,9.57834,32.22222222,83.21428571,39
2018-w32,7.51078,32.77777778,83.77142857,40
2018-w33,1.12522,33.88888889,83.08571429,59
2018-w34,4.71678,32.77777778,79.68571429,49
2018-w35,37.88156,31.66666667,78.64285714,58
2018-w36,1.16078,31.66666667,83.825,42
2018-w37,1.524,32.22222222,81.81428571,45
2018-w38,22.38756,32.77777778,82.6,40
2018-w39,0,32.77777778,83.7,26
2018-w40,0.79756,33.33333333,79.91428571,30
2018-w41,3.59156,32.77777778,81.82857143,30
2018-w42,6.27634,33.33333333,78.78571429,34
2018-w43,0.94234,32.22222222,80.62857143,14
2018-w44,0.94234,32.77777778,78.77142857,14
2018-w45,144.23644,32.22222222,79.87142857,20
2018-w46,6.78434,32.22222222,79.8,18
2018-w47,8.67156,31.66666667,81.48571429,13
2018-w48,1.59766,31.66666667,83.41428571,10
2018-w49,142.96644,32.22222222,77.54090909,13
2018-w50,1.95834,32.22222222,81.51428571,10
2018-w51,4.93522,30,83.1,15
2018-w52,1.16078,30.55555556,86.02857143,22
2019-w1,0.58166,31.11111111,86.14285714,20
2019-w2,0.65278,30.55555556,81.81428571,22
2019-w3,0.94234,30.55555556,82.15714286,48
2019-w4,1.08966,28.33333333,83.72857143,41
2019-w5,0.21844,30,85.8625,45
2019-w6,0.07366,30.55555556,81.77142857,49
2019-w7,3.66522,30.55555556,80.91428571,48
2019-w8,0,30.55555556,80.98571429,40
2019-w9,0,30,78.51428571,36
2019-w10,0,31.11111111,76.98571429,37
2019-w11,0,32.22222222,75.61428571,26
2019-w12,142.71244,32.22222222,75.12857143,25
2019-w13,2.794,31.66666667,78.32857143,23
2019-w14,0,32.22222222,77.38571429,21
2019-w15,148.26234,32.22222222,75.18571429,10
2019-w16,142.71244,32.77777778,79.17142857,6
2019-w17,0,32.77777778,78.11428571,8
2019-w18,0,33.88888889,81.55909091,17
2019-w19,0.07366,33.88888889,76.41428571,16
2019-w20,1.85166,34.44444444,76.92857143,15
2019-w21,0.94234,35,75.61428571,12
2019-w22,0.508,58.33333333,77.24285714,16
2019-w23,1.778,34.44444444,74.7,8
2019-w24,148.87956,33.88888889,76.45714286,18
2019-w25,143.51,33.88888889,81.14285714,24
2019-w26,6.858,32.22222222,79.5375,45
2019-w27,6.858,32.22222222,79.84285714,75
2019-w28,21.59,34.44444444,82.91428571,110
2019-w29,9.398,33.33333333,81.85714286,164
2019-w30,26.924,31.66666667,78.94285714,311
2019-w31,159.766,32.22222222,81.37142857,286
2019-w32,146.558,32.77777778,85.22857143,319
2019-w33,4.826,34.44444444,83.51428571,278
2019-w34,149.86,32.77777778,78.58571429,193
2019-w35,147.828,31.66666667,84.07142857,189
2019-w36,145.542,33.33333333,84.35714286,142
2019-w37,2.286,33.88888889,82.2,121
2019-w38,0.254,32.77777778,81.84285714,96
2019-w39,2.794,33.33333333,80.87272727,69
2019-w40,5.08,32.77777778,78.48571429,62
2019-w41,8.128,32.77777778,79.64285714,48
2019-w42,6.604,32.77777778,79.25714286,57
2019-w43,24.638,32.77777778,79.9,40
2019-w44,30.48,31.66666667,82.58571429,27
2019-w45,8.89,32.77777778,84.64285714,37
2019-w46,20.066,32.22222222,80.21428571,34
2019-w47,4.064,32.77777778,84.2375,9
2019-w48,4.064,32.22222222,82.98571429,11
2019-w49,6.35,31.11111111,81.32857143,11
2019-w50,2.032,32.22222222,83.58571429,17
2019-w51,1.016,32.77777778,82.52857143,14
2019-w52,168.91,31.66666667,82.55714286,6
2019-w53,3.048,30,84.81428571,0
2020-w1,0.762,31.11111111,83.58571429,9
2020-w2,4.826,30.55555556,83.62857143,15
2020-w3,0.762,31.66666667,79.2,17
2020-w4,1.778,30,79.62857,14
2020-w5,1.016,30,79.45714,12
2020-w6,5.588,31.66666667,79.88571,22
2020-w7,2.032,31.11111111,87.4,10
2020-w8,1.016,31.11111111,80.87143,14
2020-w9,0,32.22222222,81.81429,14
2020-w10,0,32.77777778,78.95714,12
2020-w11,0,32.77777778,78.78571,10
2020-w12,2.032,32.22222222,79.21429,11
2020-w13,0,32.77777778,79.24286,5
2020-w14,0,33.33333333,78.35714,0
2020-w15,0.762,33.88888889,77.27143,1
2020-w16,0,33.33333333,75.84286,1
2020-w17,0.254,34.44444444,77.54286,2
2020-w18,2.286,33.88888889,75.92857,0
2020-w19,3.048,34.44444444,77.57143,1
2020-w20,93.218,35,77.78571,0
2020-w21,4.064,33.33333333,78.08571,1
2020-w22,13.716,32.77777778,78.62857,3
2020-w23,19.812,32.77777778,84.17143,3
2020-w24,4.318,32.77777778,81.91429,2
2020-w25,7.366,33.88888889,78.67143,4
2020-w26,4.572,32.77777778,81.92857,2
2020-w27,21.59,33.33333333,80.28571,7
2020-w28,10.16,32.77777778,80.92857,5
2020-w29,14.478,32.77777778,82.82857,4
2020-w30,18.796,32.77777778,83.75714,9
2020-w31,16.002,32.77777778,81.48571,6
2020-w32,2.54,33.33333333,80.88571,5
2020-w33,0,35,82.21429,8
2020-w34,1.778,34.44444444,77.77143,3
2020-w35,5.08,33.88888889,79.12857,2
2020-w36,7.62,33.33333333,80.67143,3
2020-w37,22.098,33.33333333,83.22857,3
2020-w38,1.778,32.77777778,83.32857,1
2020-w39,10.414,33.33333333,80.85714,0
2020-w40,27.686,31.66666667,85.58571,0
2020-w41,15.24,32.77777778,84.21429,1
2020-w42,19.812,32.77777778,81.9,2
2020-w43,9.652,32.77777778,81.74286,0
2020-w44,7.874,32.22222222,86.15714,1
2020-w45,4.064,32.22222222,82.14286,2
2020-w46,2.794,32.22222222,83.01429,3
2020-w47,9.652,31.66666667,83.05714,8
2020-w48,153.67,31.11111111,85.1,1
2020-w49,10.414,31.66666667,82.58571,0
2020-w50,2.54,31.66666667,84.75714,3
2020-w51,12.954,31.66666667,85.18571,5
2020-w52,2.794,30.55555556,85.98571,7
2020-w53,0,31.66666667,81.95714,1
