Time,Rainfall,MaxTemperature,AverageTemperature,MinTemperature,Wind,Humidity,Cases
2015-w33,5.995714286,32.22222222,28.41666667,25,3.3,80.94285714,12
2015-w34,6.282857143,32.77777778,28.16111111,25,4.16,83.37142857,7
2015-w35,7.655714286,32.22222222,28.56111111,24.44444444,4.49,80.05714286,15
2015-w36,9.517142857,32.77777778,28.96111111,25.55555556,3.02,82.87142857,19
2015-w37,13.01571429,32.77777778,28.27222222,25.55555556,3.08,82.74285714,15
2015-w38,8.49,32.22222222,28.07222222,25,3.28,80.27142857,24
2015-w39,11.75714286,32.22222222,27.52777778,25.55555556,2.96,80.6,20
2015-w40,4.832857143,32.77777778,27.69444444,24.44444444,3.23,86.07142857,27
2015-w41,2.088571429,32.22222222,27.98888889,24.44444444,2.7,80.35714286,20
2015-w42,5.451428571,32.77777778,28.62222222,25,3.93,78.42857143,14
2015-w43,1.328571429,56.11111111,28.11666667,25,3.65,80.31428571,13
2015-w44,1.472857143,32.77777778,28.88888889,25.55555556,6.02,82.31428571,18
2015-w45,2.727142857,32.77777778,27.33888889,25,7.7,80.67142857,14
2015-w46,0.5928571429,39.44444444,28.9,25.55555556,8.25,80,19
2015-w47,0.7085714286,33.33333333,28.88333333,25,9.21,81.18571429,19
2015-w48,0.6042857143,32.22222222,28.57222222,26.11111111,7.81,82,22
2015-w49,1.398571429,31.66666667,28.07222222,25.55555556,8.01,81.61428571,8
2015-w50,1.217142857,31.66666667,28.42222222,25.55555556,5.73,81.67142857,8
2015-w51,7.645714286,31.11111111,27.52777778,25,8.59,84.15714286,6
2015-w52,3.922857143,31.11111111,27.95,25.55555556,7.31,82.94285714,3
2016-w1,0.8636,32.77777778,28.1,25.55555556,4.87,81.67142857,19
2016-w2,0,31.66666667,28.31,25.55555556,5.52,81.68571429,23
2016-w3,0,31.11111111,28.033333,25,6.45,80.4,31
2016-w4,10.668,30.55555556,26.527778,23.88888889,9.39,85.98571429,26
2016-w5,143.764,30.55555556,27.44444,25,6.44,84.68,10
2016-w6,4.826,31.11111111,26.283333,24.44444444,8.48,83.51428571,11
2016-w7,3.556,30,26.983333,24.44444444,9.24,82.97142857,10
2016-w8,2.794,31.11111111,26.494444,25,7.08,82.08571429,18
2016-w9,1.6256,31.66666667,27.772222,25,6.65,83.17142857,12
2016-w10,0,32.22222222,28.544444,24.44444444,6.63,80.57142857,14
2016-w11,0,32.22222222,28.516667,25,5.22,79.4,11
2016-w12,0,32.77777778,28.05,25.55555556,5.09,76.08571429,8
2016-w13,0,32.77777778,29.261111,25,6.63,77.925,5
2016-w14,0,32.77777778,29.316667,26.11111111,8.2,77.88571429,13
2016-w15,0.1905,33.88888889,29.644444,26.11111111,4.93,79.04285714,7
2016-w16,0,33.33333333,30.705556,26.11111111,7.49,76.32857143,8
2016-w17,2.7432,33.88888889,29.8,26.11111111,5.31,76.18571429,8
2016-w18,0,33.88888889,30.172222,26.66666667,5.75,74.72857143,8
2016-w19,0,33.88888889,30.316667,26.66666667,6.52,75.22857143,6
2016-w20,1.23444,35.55555556,30.172222,25.55555556,4.84,77.45714286,13
2016-w21,9.906,33.33333333,28.811111,25.55555556,3.36,80.22857143,10
2016-w22,145.796,34.44444444,29.161111,25,2.67,79.54285714,9
2016-w23,148.844,33.33333333,29.038889,25,3.66,80.81428571,12
2016-w24,14.224,32.77777778,29.16667,25.55555556,3.12,79.78571429,7
2016-w25,7.366,32.77777778,28.327778,25.55555556,3.53,84.05714286,20
2016-w26,147.574,32.77777778,28.583333,25,2.93,82.25,12
2016-w27,8.89,32.22222222,28.227778,25,2.96,81.84285714,20
2016-w28,0.36322,33.33333333,28.955556,25,3.01,80.24285714,31
2016-w29,3.91922,32.77777778,28.255556,25.55555556,3.53,78.91428571,53
2016-w30,11.3284,33.33333333,28.766667,25,2.82,81.6,104
2016-w31,3.62966,32.22222222,28.005556,25,4.27,83.07142857,129
2016-w32,0.65278,32.77777778,28.361111,25,3.47,80.81428571,122
2016-w33,7.07644,33.33333333,29.05556,25.55555556,4.27,81.11428571,159
2016-w34,0.79756,32.77777778,28.44444,25,3.73,82.55,145
2016-w35,0.07366,32.77777778,28.744444,20,3.09,79.41428571,141
2016-w36,150.58644,32.22222222,28.138889,25,3.22,84.07142857,89
2016-w37,150.622,33.33333333,28.5277778,25,4.78,80,92
2016-w38,19.73834,32.22222222,28.811111,24.44444444,3.4,82.91428571,104
2016-w39,3.66522,32.77777778,28.061111,24.44444444,5.41,83.44285714,68
2016-w40,18.50644,33.33333333,28.122222,24.44444444,4.46,81.82857143,61
2016-w41,6.16966,31.66666667,27.911111,25,5.61,83.52857143,27
2016-w42,4.09956,32.77777778,28.38889,24.44444444,6.53,81.98571429,41
2016-w43,27.79522,32.22222222,28.377778,25,5.91,82.41428571,27
2016-w44,19.44878,31.11111111,27.405556,25,8,80.57142857,26
2016-w45,143.002,32.22222222,28.272222,25.55555556,8.31,81.21428571,19
2016-w46,1.81356,31.66666667,28.3,25.55555556,7.86,83.37142857,13
2016-w47,18.43278,32.22222222,27.7778,24.44444444,9.89,82.88181818,17
2016-w48,141.732,32.22222222,28.233333,12.22222222,8.48,80.67142857,14
2016-w49,15.16634,32.22222222,27.983333,25.55555556,5.87,84.41428571,13
2016-w50,160.274,31.11111111,27.355556,24.44444444,5.89,86.02857143,4
2016-w51,1.74244,30.55555556,27.8,25,7.66,82.05714286,10
2017-w1,142.85722,31.11111111,28.138889,25,9.59,84.34285714,1
2017-w2,9.61644,28.33333333,27.422222,24.44444444,8.86,84.52857143,7
2017-w3,20.64766,29.44444444,26.005556,24.44444444,10.38,89.57142857,13
2017-w4,143.256,30.55555556,26.261111,25,8.66,86.8375,9
2017-w5,1.48844,31.11111111,27.122222,25,8.22,83.71428571,7
2017-w6,0.79756,30,27.472222,25,10.15,84.7,8
2017-w7,2.286,30,27.033333,23.88888889,10.3,80.05714286,6
2017-w8,3.302,30.55555556,25.988889,25,7.86,82.18571429,6
2017-w9,0,31.11111111,27.2222,25,7.25,84.98571429,6
2017-w10,0.28956,30,27.55,25,6.79,83.58571429,4
2017-w11,142.494,31.11111111,27.38889,25,7.52,78.57142857,3
2017-w12,0.07366,32.77777778,27.627778,25,6.19,83.92857143,3
2017-w13,3.08356,32.22222222,28.305556,25.55555556,8.7,80.11428571,2
2017-w14,146.01444,32.22222222,28.455556,25,19.2,80.95714286,1
2017-w15,0,32.22222222,26.811111,25.55555556,6.29,80.7,3
2017-w16,145.32356,32.77777778,28.8611111,25,3.34,80.42857143,0
2017-w17,0,32.77777778,28.66667,25.55555556,3.95,80.93181818,2
